Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-08-23,YESBANK,EQ,66.7,67.45,67.45,63.9,64.75,64.6,64.95,1476367,9588682895000.0,,1088996,0.7376
2005-08-24,YESBANK,EQ,64.6,64.2,65.9,63.9,64.75,64.65,64.46,616478,3973871800000.0,,357198,0.5794
2005-08-25,YESBANK,EQ,64.65,65.0,67.3,64.75,65.6,65.7,65.84,496609,3269509975000.0,,173264,0.3489
2005-08-26,YESBANK,EQ,65.7,66.1,68.0,65.7,66.35,66.2,66.2,466074,3085357285000.0,,218855,0.4696
2005-08-29,YESBANK,EQ,66.2,67.0,67.0,64.2,65.25,65.25,64.83,1245549,8075181334999.999,,1081210,0.8681000000000001
2005-08-30,YESBANK,EQ,65.25,65.95,67.15,65.7,66.65,66.45,66.41,405319,2691521790000.0,,209627,0.5172
2005-08-31,YESBANK,EQ,66.45,67.0,68.65,66.15,67.2,67.05,67.28,852663,5737036275000.0,,435776,0.5111
2005-09-01,YESBANK,EQ,67.05,67.95,68.3,66.5,66.7,67.0,67.27,382169,2570889050000.0,,239330,0.6262
2005-09-02,YESBANK,EQ,67.0,67.1,73.95,65.7,70.5,70.6,71.03,3439506,24429578735000.0,,1190701,0.3462
2005-09-05,YESBANK,EQ,70.6,71.1,71.5,68.0,68.5,68.3,69.61,794857,5532666095000.0,,414919,0.522
2005-09-06,YESBANK,EQ,68.3,68.95,71.4,68.0,68.45,68.85,69.61,1159714,8073116220000.0,,332772,0.28690000000000004
2005-09-08,YESBANK,EQ,68.85,68.0,69.65,68.0,69.2,69.1,68.97,528846,3647336329999.9995,,286768,0.5423
2005-09-09,YESBANK,EQ,69.1,69.85,73.35,68.7,72.85,72.7,71.88,3011179,21644859710000.0,,1250705,0.4154
2005-09-12,YESBANK,EQ,72.7,73.2,73.8,71.5,71.75,71.7,72.45,1453140,10528713910000.0,,557998,0.384
2005-09-13,YESBANK,EQ,71.7,72.0,73.0,70.9,71.45,71.5,71.78,1206319,8658895159999.999,,477322,0.3957
2005-09-14,YESBANK,EQ,71.5,72.55,73.6,70.15,71.9,71.7,72.3,1867148,13499493069999.998,,800324,0.4286
2005-09-15,YESBANK,EQ,71.7,72.0,72.5,70.8,71.2,71.0,71.27,705326,5026612290000.0,,431729,0.6121
2005-09-16,YESBANK,EQ,71.0,70.5,71.85,64.9,70.75,70.7,70.85,444499,3149495925000.0,,183128,0.41200000000000003
2005-09-19,YESBANK,EQ,70.7,71.45,71.45,69.5,69.6,69.8,70.01,771623,5402512895000.0,,549307,0.7119
2005-09-20,YESBANK,EQ,69.8,70.4,70.4,68.1,68.6,68.85,68.68,1084933,7451372845000.0,,877038,0.8084
2005-09-21,YESBANK,EQ,68.85,69.0,69.45,63.55,65.35,65.35,64.81,3364553,21804350970000.0,,2327685,0.6918000000000001
2005-09-22,YESBANK,EQ,65.35,65.8,65.8,63.6,63.9,63.9,64.23,1132406,7273672509999.999,,729376,0.6441
2005-09-23,YESBANK,EQ,63.9,64.3,66.5,61.2,63.2,62.9,62.94,1582416,9959790220000.0,,862971,0.5454
2005-09-26,YESBANK,EQ,62.9,63.9,66.7,63.9,65.3,65.05,65.6,948830,6224269760000.0,,578886,0.6101
2005-09-27,YESBANK,EQ,65.05,65.5,66.9,65.1,66.9,66.45,66.06,863544,5704777770000.0,,459711,0.5324
2005-09-28,YESBANK,EQ,66.45,67.5,69.8,67.05,68.55,68.65,68.75,1384129,9515909875000.0,,620915,0.4486
2005-09-29,YESBANK,EQ,68.65,69.25,69.25,67.2,68.0,67.65,68.38,693380,4741465765000.0,,398709,0.5750000000000001
2005-09-30,YESBANK,EQ,67.65,67.6,67.95,65.25,66.3,66.35,66.39,824413,5473594080000.0,,557137,0.6758
2005-10-03,YESBANK,EQ,66.35,66.85,67.9,66.15,66.5,66.55,66.86,422033,2821711030000.0,,264998,0.6279
2005-10-04,YESBANK,EQ,66.55,67.25,67.7,66.75,67.05,67.1,66.99,670644,4492723650000.0,,466365,0.6954000000000001
2005-10-05,YESBANK,EQ,67.1,67.7,69.5,66.6,68.0,67.75,68.07,946457,6442883205000.0,,477444,0.5045000000000001
2005-10-06,YESBANK,EQ,67.75,68.45,71.2,66.25,68.35,68.4,69.42,2606298,18093367740000.0,,709051,0.2721
2005-10-07,YESBANK,EQ,68.4,69.4,70.5,68.3,69.8,69.2,69.46,1765337,12262484905000.0,,992461,0.5622
2005-10-10,YESBANK,EQ,69.2,70.0,72.15,67.55,67.75,68.2,70.34,4766292,33525442505000.0,,1686456,0.35380000000000006
2005-10-11,YESBANK,EQ,68.2,69.0,69.0,66.9,67.15,67.2,67.46,1067807,7203455805000.0,,348678,0.3265
